answered_by,date_created,date_updated,direction,duration,duration_billed,end_time,forwarded_from,from,phone_number_sid,price,status
nobody,"Fri, 24 Aug 2018 17:59:18","Fri, 24 Aug 2018 17:59:20",outbound-sip,0,0,,,19058546935,DIf674eb32bd25446619954dcaa0b9399c,0,in-progress
telapi,"Fri, 24 Aug 2018 17:59:16","Fri, 24 Aug 2018 17:59:16",inbound,0,0,,,19058546935,DIf674eb32bd25446619954dcaa0b9399c,0,in-progress
nobody,"Fri, 24 Aug 2018 17:49:50","Fri, 24 Aug 2018 17:49:50",outbound-sip,0,0,,,16233089708,DIf674eb32bd25446619954dcaa0b9399c,0,queued
telapi,"Fri, 24 Aug 2018 17:49:48","Fri, 24 Aug 2018 17:49:49",inbound,1,0,"Fri, 24 Aug 2018 17:49:49",,16233089708,DIf674eb32bd25446619954dcaa0b9399c,0,canceled
nobody,"Fri, 24 Aug 2018 17:40:28","Fri, 24 Aug 2018 17:59:30",outbound-sip,1140,0,"Fri, 24 Aug 2018 17:59:30",,12049416268,DI7c88908478f81ff7fd68498a8597de82,0,in-progress
telapi,"Fri, 24 Aug 2018 17:40:24","Fri, 24 Aug 2018 17:59:31",inbound,1147,0,"Fri, 24 Aug 2018 17:59:31",,12049416268,DI7c88908478f81ff7fd68498a8597de82,0,in-progress
nobody,"Fri, 24 Aug 2018 17:38:20","Fri, 24 Aug 2018 17:38:43",outbound-sip,21,60,"Fri, 24 Aug 2018 17:38:42",,16026940701,DIf674eb32bd25446619954dcaa0b9399c,0.002,completed
telapi,"Fri, 24 Aug 2018 17:38:18","Fri, 24 Aug 2018 17:38:43",inbound,25,60,"Fri, 24 Aug 2018 17:38:42",,16026940701,DIf674eb32bd25446619954dcaa0b9399c,0.03,completed
nobody,"Fri, 24 Aug 2018 17:36:16","Fri, 24 Aug 2018 17:36:29",outbound-sip,10,60,"Fri, 24 Aug 2018 17:36:27",,16303769003,DI8f88908408c45c0e79ff4ef18c9928a5,0.002,completed
nobody,"Fri, 24 Aug 2018 17:36:14","Fri, 24 Aug 2018 17:36:26",outbound-sip,9,60,"Fri, 24 Aug 2018 17:36:25",,Unavailable,DI65889084b16bd37fa5174f4198f6c3e4,0.002,completed
